Country,Continent,GDP,Age,Female,Male,School,PV1MATH,PV1READ,PV1SCIE,ST83Q04,ST83Q03,ST82Q01,ST82Q02,ST82Q03,ST83Q01,ST84Q01,ST84Q03,ST79Q06,ST79Q02,ST80Q01,ST81Q03,ST86Q02,ST79Q01,ST79Q08
China-Macao,Asia,77215,15.8,2604,2731,45,538.3130455,509.2448118,520.8493613,76.2599094,79.11356556,73.27903683,61.43443784,38.47296915,79.50622524,64.45578231,40.00283607,71.78379144,61.60764873,60.54046406,45.12904141,74.43438914,70.72842999,67.74604072
China-Shanghai,Asia,23804,15.8,2637,2540,155,610.5470297,567.4197144,578.5456998,81.20121422,83.80098351,68.12065972,56.63147237,38.73443383,85.34258456,50.45572917,34.75556841,79.07616565,75.31123335,72.20775463,37.81141367,81.16487975,79.29563205,76.36231884
Colombia,South America,7749,15.9,4807,4266,352,386.185442,414.5490085,408.5937338,82.21658819,84.51170811,74.45049955,69.87344094,62.68991397,81.00399057,63.23312431,48.91606448,85.80478854,71.04849965,71.31625442,49.71774194,81.91803581,79.00972053,67.26533823
Costa Rica,America,9428,15.8,2460,2142,193,406.0937022,440.5858328,429.5774249,80.22569444,85.05396936,82.87683182,80.22687609,42.74588729,81.14384749,56.71433554,40.77151854,83.02101576,60.82194182,63.61646235,48.05420431,82.23615465,80.04731861,61.8785014
Croatia,Europe,13236,15.8,2480,2528,163,469.8331208,484.1952122,490.0235757,76.16716867,72.67932489,82.09408194,67.75835866,41.70724285,79.50030102,53.56708245,44.2407182,73.33887043,57.72302592,66.29842615,52.66777509,72.92859295,79.98343872,65.9563253
Czech Republic,Europe,19671,15.8,2680,2647,297,519.7749777,513.0081706,527.6461512,72.88147932,70.41618161,78.2827546,75.18221574,49.01344636,76.34643377,53.00729927,43.92325649,76.60750655,68.07535642,73.55461941,50.04378284,69.06077348,73.78563118,65.61500436
Denmark,Europe,57637,15.8,3777,3704,341,486.1854531,483.9130326,482.0306603,73.85238998,79.44130571,78.43710157,73.17215728,45.8041958,75.14644351,54.65239508,40.46087323,77.34878404,53.79417879,67.39921031,49.27521008,75.62737242,71.30900395,53.67493745
Estonia,Europe,17133,15.9,2409,2370,206,521.8050499,517.8044497,543.1917412,73.58520392,79.44848293,79.26559038,62.31355125,39.73341796,79.64161667,52.83603432,39.73483646,72.42251739,55.2195199,67.20379147,46.46248813,73.03006329,74.43092001,51.43015171
Finland,Europe,47416,15.8,4370,4459,311,507.5257762,510.9055348,527.9747588,73.39336158,80.49532875,76.90505658,64.15545326,45.84070014,72.40088106,55.42477876,42.4637553,69.03214474,69.37301867,67.00387051,56.93443487,71.15723603,70.28276956,60.95317726
France,Europe,40854,15.9,2375,2238,226,499.4704357,509.2334715,502.7439806,69.82238606,75.22620643,69.69056476,66.02737411,52.30418636,75.18394649,53.62355737,40.71307301,71.28860844,64.06146179,68.97068621,57.03883495,70.41638684,68.812045,62.55393296
Germany,Europe,43932,15.9,2462,2539,230,513.9321893,507.4648053,523.7129444,68.53983918,68.26817684,79.97608536,65.66076043,40.88638046,72.04487413,51.21771218,38.40339233,73.15895005,71.46260997,62.23929748,53.14551422,69.56640058,71.32860778,54.05725748
Greece,Europe,22495,15.8,2576,2549,188,453.8900677,477.3861003,467.3183098,78.69192069,79.23076923,71.4900564,62.29593351,57.1735905,78.30523514,56.72187407,48.47242921,79.16666667,68.5300207,74.32732111,53.95089286,73.27560687,77.8253172,61.49187592
Hungary,Europe,12785,15.8,2529,2281,204,485.3908401,496.6487035,502.3124338,73.988622,75.35590003,81.21625913,68.94636623,44.34920635,75.9949463,59.1298825,49.3178934,75.28445006,65.3834017,70.88207398,50.18300446,71.79080824,68.20050601,60.16440089
Iceland,Europe,44378,15.8,1739,1769,134,493.1470765,482.8310689,478.3918048,77.90128946,83.91748004,78.40553819,74.03846154,48.0941704,77.66829052,50.76871658,39.78542691,73.6043956,57.34457093,64.0969163,50.3864841,76.54307282,78.34283209,50.69109258
Indonesia,Asia,3719,15.9,2860,2762,209,376.0717904,397.6595268,382.9808948,84.36141304,86.34819244,81.68068367,76.5795207,57.14480502,83.79566982,79.84617479,58.21973828,81.40540541,71.12103981,77.7200324,50.96153846,81.78415895,78.08875101,72.75006777
Ireland,Europe,48392,15.7,2545,2471,183,500.9036292,523.2196337,521.7004092,71.65912519,78.44879518,76.64652568,64.97277677,45.51437216,83.01233825,52.36262077,36.3910682,77.65140102,66.09186747,73.9921781,47.88403614,75.80475331,66.85503315,50.9858519
Israel,Middle East & Africa,32515,15.7,2825,2230,172,468.8858217,491.2955213,473.7132865,76.68459348,78.63234365,82.49524112,78.29993639,44.18419375,85.14687303,57.1838165,41.74107143,77.25846926,74.06593407,74.46507237,47.23984772,75.5620646,76.22201198,58.60062893
Italy,Europe,34855,15.8,15243,15830,1194,491.9041668,495.2442095,500.0484329,75.93144925,77.82394056,81.13525619,68.9649235,43.12623032,81.72095522,61.65322977,45.51634436,74.15019375,60.91296052,66.81011362,51.68738681,70.68657666,71.30150729,54.17401097
